MC,,1,Janelle owns a fast-food restaurant that is part of a larger chain of restaurants. She paid an initial fee to the owner of the chain when she opened the restaurant. She also has to pay a royalty fee to the parent company based on a percentage of her profits. Janelle is a,4,licensee.,franchisor.,licensor.,franchisee.
MC,,1,"When Arthur travels out of the country, he picks up some souvenirs. When he tries to bring them back home with him, he discovers that he has to pay a tax on them. Arthur must pay the",2,travel tax.,customs duty.,travel duty.,souvenir tax.
MC,,1,Which of the following is a controversial legal issue pertaining to airport security:,2,Passport purchasing procedures,Intrusive personal searches,Airline overbooking practices,Baggage fees and claims
MC,,1,"A month ago, Carmen volunteered to bring cookies to her school's bake sale. She waited until the morning of the bake sale to bake the cookies, and now she has to get them done as quickly as she can. She tries a cookie when it comes out of the oven, and it tastes terrible. Carmen looks back at the recipe and realizes she left out several key ingredients because she was in such a hurry. Which of these steps for following written instructions did Carmen ignore?",3,Know the end result.,Accept responsibility.,Don't rush.,Go in order.
MC,,1,"Derek is listening to Amir talk about his new job working at a fast-food place. Amir says, “I'm looking forward to my first full-time job.” He is slumped in his seat and staring at the floor. Which of the following is a good interpretation of Amir's message:",4,"He is excited, but he has poor communication skills.",He is not excited because no one likes working in fast food.,He is excited because he clearly said that he is looking forward to the job.,He is not excited because his body language doesn't match his words.
MC,,1,Which of the following is an example of formal communication in the workplace:,4,Susan tells a coworker that she thinks her manager is going to be fired.,Tessa asks Ken for his opinion about an article that she has written.,Phil asks Mark if he has an extra product brochure that he can give to a customer.,Melinda meets with her manager to discuss a possible promotion.
MC,,1,Corey is writing an online banner advertisement to sell her new line of handmade toys. What type of writing is Corey doing?,2,Responsive,Persuasive,Informative,Passive
MC,,1,Why should an independent business consultant avoid using email to share a negative evaluation of an IT company with a client?,3,The email would legally be considered intentional slander or defamation.,It is illegal to share negative information about other businesses via email.,Using email can create reputational risk for him/her if it is shared with others.,The email would make him/her appear negative and judgmental.
MC,,1,You have to let one of your employees know you must reduce his hours because of budget cuts. You should deliver this information to your employee in a(n),4,letter.,phone call.,email.,in-person meeting.
MC,,1,Olivia's manager asked her to attend a meeting that will be held next Tuesday and provided her with an outline that describes the meeting topics. What can Olivia do to prepare for the meeting?,1,Review the meeting agenda to gather necessary information,Summarize the status of all of her current work projects,Ask a coworker about the meeting's purpose,Set priorities for discussion points
MC,,1,"David works for a busy travel agency. On Thursday, a client calls David and requests information about a two-week Caribbean cruise. David needs to do some research before he can provide the client with the desired information. Which of the following is the best way for David to respond to the client's inquiry:",3,"""I don't have information about this cruise. I'll ask my supervisor to call you next week.""","“I'm very busy right now, so I'll get back to you when I have time.”","“I need to look into this, but will call you back by the end of the day with an answer.”",“I'm in the middle of something right now. Call me back in 15 minutes.”
MC,,1,The executives of an airline recently determined that the cost of their extensive employee training program was too high and decided to terminate the program. What is a possible consequence of this decision?,3,Stronger financial standing,Increased number of repeat customers,Decreased quality of customer service,Reduced focus on productivity by management
MC,,1,Which of the following is a good strategy for resolving a customer service issue:,1,Allow the customer to express his/her feelings,Agree with the customer's complaints,Keep the conversation in a public space,Disagree with each negative statement
MC,,1,"When a business is successful in carrying out its brand promise, it provides its customers with",4,a single touchpoint.,above-average product quality.,a variety of messages.,consistent experiences.
MC,,1,Which of the following is a true statement regarding the relationship between customer service and the hospitality and tourism industry:,1,Business success or failure depends on customer service.,"Customer service is important, but less so than price.",Customer service cannot be taught through training.,Greater customer satisfaction leads to lower revenue.
