MC,,1,"What type of law focuses on issues regarding the promises that businesses make with their customers, vendors, and other business partners?",4,Patent,Constitutional,Probate,Contract
MC,,1,A basic principle of procedural due process involves __________ before taking action.,3,awarding damages,obtaining witnesses,providing notice,creating evidence
MC,,1,Which of the following statements is true regarding joint ventures:,3,Large corporations are the only business structures that can benefit from joint ventures.,Joint ventures are used only when it is necessary to raise a lot of capital.,Joint venture arrangements are usually short-term relationships.,An independent attorney must always be consulted before signing a joint venture agreement.
MC,,1,Providing marketing information is an important channel activity. Businesses rely on marketing information to determine,1,their target markets' needs and wants.,how intermediaries are performing.,how much to charge for their products.,what to name their products.
MC,,1,Which of the following is a benefit of channels of distribution:,2,Producers must spend more money.,We can more easily obtain products from all over the world.,Retailers must spend more money.,We spend more time looking for products we want.
MC,,1,"A manufacturer that has 65% of the market share is pressuring its wholesalers to sign an agreement stating that they will not sell competing products. In this situation, the agreement is illegal because it",3,controls resale prices.,prohibits monopolies.,violates antitrust laws.,limits producers' rights.
MC,,1,A producer can minimize channel conflict among its distributors and retailers by,1,offering different products through each channel.,selling its items directly to the end users.,establishing slotting fees for certain channels.,requesting that the channel members carry only its brand.
MC,,1,Which of the following is a leading question:,1,"Mia is a great manager, isn't she?",How was your weekend?,What did you discuss in the meeting?,What are you having for lunch?
MC,,1,"During a brainstorming session, should participants be allowed to add new ideas to the list that are based on another group member's idea?",4,"Yes, because ideas that are too outrageous should be immediately modified","No, because using someone else's idea is considered stealing","No, because it can be interpreted as a poor evaluation of the idea","Yes, because other participants' ideas can trigger new ideas"
MC,,1,"When businesses need to formalize the information provided to employees, customers, or other businesses, they often use __________ communication.",1,written,lateral,upward,verbal
MC,,1,What is one reason why businesses write informational messages?,3,To analyze sales proposals,To develop research reports,To explain new policies,To obtain positive feedback
MC,,1,"Because Caroline does not have enough time to read an entire 400-page business report, what section of the report should she review to obtain an overview of the most important content?",3,Appendices,Table of contents,Executive summary,Conclusions
MC,,1,Which of the following is a type of simple written report that usually is distributed to employees within a business:,4,Newsletter,Proposal,Handbook,Memorandum
MC,,1,"When taking notes during a seminar, a businessperson should write down",4,all details.,information of interest.,inaccurate statements.,key points.
MC,,1,A customer has purchased an item from you and is now faced with carrying six packages. You can use a practical idea to create positive customer relations by,3,wishing the customer luck in carrying all the packages.,thanking the customer for making so many purchases.,offering to place all the packages in one large bag.,complimenting the customer for getting a lot accomplished.
MC,,1,Which of the following is an example of an employee using nonverbal communication effectively to reinforce his/her service orientation:,2,"When Mrs. Jones complained that her steak was not cooked the way she wanted it, Leah rolled",Molly nodded and maintained eye contact as Ms. West explained the problem with her computer.,"Tristan answered his office telephone and said, “Blanton Industries. How can I help you?”",Paul crossed his arms and tapped his foot impatiently as Mr. Cook asked about a charge on his
MC,,1,A grocery store keeps track of customers' purchases through their loyalty cards. This is an example of,4,data encryption.,illegal data collection.,data security.,big data.
MC,,1,"When a manufacturer asks a business to collect information from customers concerning how to improve a product, which type of utility is most likely to be affected?",4,Possession,Place,Time,Form
MC,,1,"In a market economic system, who owns most of the means of production of goods and services?",3,Entrepreneurs,Political parties,Businesses and individuals,Government
MC,,1,Research and development speed up production by,2,providing employees with adequate job training.,simplifying existing products.,limiting inflation.,reviewing company goals with employees.
MC,,1,"If total cost is $3,000 with zero quantity produced and $6,500 with 1,000 items produced, what is the marginal cost of producing each item?",1,$3.50,$3.00,$6.50,$1.00
MC,,1,"According to the Keynesian theory of unemployment, the best solution for unemployment is to",3,keep prices the same.,cut wages.,increase demand.,increase inflation.
MC,,1,Which of the following is considered an external cause of business cycles:,1,Climatic changes,Aggregate demand,Money supply,Inventory levels
MC,,1,Levels of inflation and unemployment are factors that affect __________ in the world market.,4,communication,specialization,satisfaction,competition
MC,,1,A nation's currency exchange rate is likely to increase when,2,the labor force shrinks.,consumer confidence is high.,an economic contraction occurs.,stock values fluctuate.
MC,,1,Knowing your personal strengths and weaknesses helps you to,3,ask others for input about your strengths and abilities.,identify potential strengths and weaknesses in others.,make informed decisions about your future.,perform well on a skills assessment test.
MC,,1,A responsible employee is one who is able to __________ his/her mistakes.,3,conceal,avoid,admit,maximize
