MC,,1,"The ZRB Company promises to ship LST Inc. 200 units of product by a certain date, and LST Inc. promises to pay ZRB $25,000 for the product within 14 days of receipt. This is an example of a(n)",4,defensible agreement.,exempt contract.,executed agreement.,bilateral contract.
MC,,1,One of the primary purposes of customs regulations is to,1,prevent illegal materials from exiting or entering a country.,standardize a country's higher education system.,organize the domestic economy by industry sector.,make it more difficult for illegal immigration to occur.
MC,,1,"A manufacturer of draperies sells them to Sears, which, in turn, sells them to a customer. This channel of distribution transports goods from producer to",2,agent to retailer.,retailer to consumer.,consumer.,wholesaler to retailer to consumer.
MC,,1,Information technology has dramatically improved supply chain management capability by creating a seamless distribution process for matching,2,inventory needs to distribution centers.,inventory needs to customer requirements.,costs with expenses.,customer requirements with product innovation.
MC,,1,Which of the following businesses is most likely to violate antitrust laws if it insists on an exclusive dealing agreement:,4,The buyer,A small startup,Horizontal business partners,A firm with dominant market power
MC,,1,"Chadwell's Toy Palace is planning a “buy one, get one free” sale for some popular toys. What will the store need to do to ensure that there are enough products available to meet the changing demand?",3,Change the distribution strategy from selective to intensive,Hire additional warehouse staff for the duration of the sale,Purchase higher quantities of the sale items in a timely manner,Send copies of the promotional literature to the store's vendors
MC,,1,Which of the following is a common reason for horizontal conflict among distribution channel members:,3,Direct distribution,Transportation issues,Territorial boundaries,Shipping errors
MC,,1,People's Bank recently partnered with a local supermarket chain to offer a special rewards credit card for supermarket customers. Both the bank and the supermarket hope to gain more customers from the relationship. This is an example of,2,mutual advertising.,affinity marketing.,company partnership.,dual promotion.
MC,,1,"When preparing for a speech, it's most important to",4,write note cards.,design visual aids.,plan your appearance.,practice.
MC,,1,"After Lana finishes writing the promotional copy for a direct-mail letter, she plans to proofread and edit her work on her computer. What technique should Lana use to determine if the text is clear and logical?",1,Reading the text aloud,Reading the text backwards,Correcting grammatical mistakes,Correcting punctuation errors
MC,,1,The use of email may put a business at more risk than memos or letters stored as paper records because,3,email users may use slang or make embarrassing remarks.,email users may make careless spelling errors.,email communications are more difficult to secure.,email communications contain confidential information.
MC,,1,"If a manager wants to be sure they correctly interpret their employees' nonverbal cues, how should they communicate with them?",3,By email,By phone,Face-to-face,Through an office-wide memo
MC,,1,"Tony, a salesman, often matches his communication style to his customers' to make them feel more comfortable and relaxed during their conversations. In this example, Tony is",4,appreciating the customers' point of view.,finding common ground with customers.,being empathetic toward customers.,using mirroring to develop rapport.
MC,,1,"In the modern business world, a growing number of interactions between businesses and customers are taking place",4,through the mail.,over the phone.,in stores.,online.
MC,,1,Sugar and flour that are purchased to make baked goods are classified as,3,supplies.,installations.,materials.,parts.
MC,,1,ABC Corporation recently held a series of executive meetings where company leaders discussed several “big-picture” questions about the business's future. These questions included “Is the company headed in the right direction?” and “Is the company likely to experience long-term success?” Which primary business activity were the company leaders a part of?,2,Financial analysis,Strategic management,Human resources management,Information management
MC,,1,Which of the following factors have provided businesses with more opportunities to buy and sell products at the international level:,2,Protectionism,Free trade agreements,Language barriers,Strict safety standards
MC,,1,Why are government regulations that control how businesses use natural resources developed?,3,To stabilize the economy,To encourage workplace safety,To protect the environment,To seize business property
MC,,1,"When calculating the gross domestic product for the nation, what category would items such as a business's new delivery truck, office furniture, and computer equipment come under?",4,Government purchases of goods and services,Personal consumption expenditures,Net exports of goods and services,Gross private domestic investment
MC,,1,Assessing your personal strengths and weaknesses in an objective way involves,3,comparing your attributes with others' skills and talents.,basing a strength or weakness on one isolated incident.,looking for behavior patterns that occur regularly over time.,working to improve most of your weaknesses at one time.
MC,,1,One of the drawbacks of communicating without words is that it is,1,sometimes misunderstood.,hard to learn.,too precise.,not effective.
MC,,1,"When you're assigned a project, your boss takes the time to clearly explain the instructions to you. As a result, you're able to finish your project much sooner and with fewer mistakes. Which benefit of open and honest communication are you experiencing?",4,A good reputation,Increased sales,Better ideas,Increased productivity
MC,,1,"When an audience member raises an objection, you should",2,pretend that you didn't hear them.,maintain your composure.,attempt to change the subject.,explain that they are wrong.
MC,,1,"Determine the reason for the following conflict: As Matthew was leaving the office to go to an important dinner meeting, his manager asked him to work late on a project with a tight deadline.",1,Competing situations,Unclear expectations,Unclear boundaries,Miscommunication
MC,,1,What is the benefit of shared vision to an organization?,3,It creates a competitive environment.,It ensures that the team's goals are achievable.,It serves as a guide for decision-making.,It supports a groupthink attitude.
MC,,1,"Mia makes a conscious effort to dress professionally, arrive at work on time, work late when necessary, take on extra assignments, and be respectful of and helpful to influential employees. As a result of Mia's professional dedication, the company has implemented many of her ideas. This is an example of an employee using __________ to achieve organizational goals.",2,reciprocity,impression management,excessive flattery,codependency
MC,,1,"If one of your coworkers is treating another coworker unfairly, what is the ethical thing to do?",1,Speak up.,Ignore it.,Be aggressive.,Look for another job.
MC,,1,"Because Elise paid her monthly credit card bill on April 16 instead of April 4, the credit card issuer added a $25 charge to her May billing statement. This is an example of a(n) __________ fee.",2,annual,late,balance transfer,cash advance
MC,,1,"Fiona made a $500 donation to a local homeless shelter last year. When she prepares her personal income tax form, she can claim the donation as part of her",2,public property.,tax deductions.,living expenses.,discretionary income.
MC,,1,"Rossi is buying a new computer for $363 with his credit card. The credit card has a rate of 24% and uses an adjusted balance method to calculate interest. The credit card company begins charging interest on Rossi's purchase during the first billing period. If Rossi makes a payment of $200 for the first billing period and pays the remaining amount for the second billing period, how much total interest will Rossi pay?",3,$7.26,$14.52,$10.67,$12.31
MC,,1,Which of the following statements is true of retirement plans:,2,Employees cannot access their own contributions prior to retirement.,A 401(k) is a type of defined contribution retirement plan.,Retirement plans are only necessary for older employees.,Employers are legally required to offer retirement plans.
MC,,1,"If a business wants to prepare reliable financial reports, it must be",1,neutral.,partial.,certified.,supervised.
MC,,1,The best source for data about the goods and services a company needs to buy for its own operation is its,1,vendors.,sales team.,customers.,competitors.
MC,,1,Which of the following is a limitation of a marketing-information system:,3,It updates too quickly during times of business change.,It eliminates marketers' jobs.,It's expensive to implement.,It's very difficult to train employees on its use.
MC,,1,Cecelia started seeing ads on various websites for a pair of shoes that she almost bought online. This is because of,2,deception.,big data.,confidentiality.,transparency.
